userid,condition,snippet,order,topic,total_actions,p10,any_interactions,was_clicked,clicked_count
42,0,1,1,347,366,0.1,0,0,0
42,0,1,1,347,366,0.1,0,0,0
42,0,1,1,347,366,0.3,1,1,9
42,0,1,1,347,366,0.0,0,0,0
42,0,1,1,347,366,0.0,1,1,1
49,0,1,3,435,322,0.2,1,1,16
1,0,4,4,408,300,0.0,0,0,0
1,0,4,4,408,300,0.2,1,1,3
1,0,4,4,408,300,0.9,1,1,6
31,0,4,1,347,326,0.3,1,1,5
31,0,4,1,347,326,0.1,0,0,0
31,0,4,1,347,326,0.0,0,0,0
31,0,4,1,347,326,0.3,0,0,0
31,0,4,1,347,326,0.3,0,0,0
31,0,4,1,347,326,0.3,1,1,2
21,0,1,4,408,395,0.0,1,1,4
21,0,1,4,408,395,0.0,0,0,0
21,0,1,4,408,395,0.4,1,1,13
23,0,4,4,408,216,0.0,0,0,0
23,0,4,4,408,216,0.0,1,1,11
23,0,2,3,435,338,0.2,1,1,3
23,0,2,3,435,338,0.1,1,1,1
23,0,2,3,435,338,0.2,1,1,9
47,0,1,3,435,348,0.2,1,1,7
47,0,1,3,435,348,0.4,1,1,6
8,0,2,3,435,404,0.3,1,1,5
8,0,2,3,435,404,0.8,1,1,7
8,0,2,3,435,404,0.5,1,1,3
16,0,4,3,435,111,0.5,1,1,5
16,0,4,3,435,111,0.5,1,1,1
24,0,2,3,435,214,0.1,1,1,9
11,0,4,1,347,549,0.0,1,1,1
11,0,4,1,347,549,0.1,1,1,1
11,0,4,1,347,549,0.1,1,1,6
11,0,4,1,347,549,0.0,1,1,2
11,0,4,1,347,549,0.3,1,1,3
2,0,2,1,347,475,0.2,1,1,9
2,0,2,1,347,475,0.1,1,1,2
2,0,2,1,347,475,0.2,0,0,0
2,0,2,1,347,475,0.1,1,1,1
37,0,1,1,347,287,0.5,1,1,4
37,0,1,1,347,287,0.3,1,1,4
39,0,4,4,408,231,0.1,0,0,0
39,0,4,4,408,231,0.8,1,1,12
18,0,1,3,435,249,0.3,1,1,4
18,0,1,3,435,249,0.8,1,1,7
14,0,0,3,435,163,0.3,0,0,0
14,0,0,3,435,163,0.1,0,0,0
14,0,0,3,435,163,0.3,1,1,2
14,0,0,3,435,163,0.3,1,1,1
14,0,0,3,435,163,0.3,1,1,1
46,0,2,1,347,346,0.2,1,1,1
46,0,2,1,347,346,0.1,1,1,6
46,0,2,1,347,346,0.2,0,0,0
39,0,2,3,435,184,0.2,1,1,10
11,0,1,4,408,417,0.1,0,0,0
11,0,1,4,408,417,0.2,1,1,5
11,0,1,4,408,417,0.2,1,1,6
7,0,0,4,408,411,0.6,1,1,2
7,0,0,4,408,411,0.2,1,1,4
7,0,0,4,408,411,0.0,1,1,5
9,0,0,4,408,424,0.6,1,1,16
33,0,0,3,435,297,0.2,1,1,5
51,0,1,2,341,182,0.3,0,0,0
51,0,1,2,341,182,0.1,1,1,1
51,0,1,2,341,182,0.1,0,0,0
51,0,1,2,341,182,0.1,1,1,1
51,0,1,2,341,182,0.3,1,1,1
51,0,1,2,341,182,0.0,0,0,0
51,0,1,2,341,182,0.0,1,1,1
51,0,1,2,341,182,0.0,0,0,0
51,0,1,2,341,182,0.0,0,0,0
51,0,1,2,341,182,0.0,0,0,0
51,0,1,2,341,182,0.0,0,0,0
51,0,1,2,341,182,0.2,1,1,1
31,0,1,2,341,227,0.2,1,1,4
31,0,1,2,341,227,0.2,1,1,2
31,0,1,2,341,227,0.2,1,1,3
46,0,0,3,435,73,0.2,1,1,3
40,0,4,3,435,96,0.2,1,1,5
41,0,2,3,435,552,0.0,0,0,0
41,0,2,3,435,552,0.4,1,1,1
41,0,2,3,435,552,0.0,1,1,1
41,0,2,3,435,552,0.0,0,0,0
41,0,2,3,435,552,0.0,0,0,0
41,0,2,3,435,552,0.2,1,1,4
41,0,2,3,435,552,0.2,0,0,0
41,0,2,3,435,552,0.1,0,0,0
41,0,2,3,435,552,0.0,0,0,0
41,0,2,3,435,552,0.0,0,0,0
41,0,2,3,435,552,0.0,0,0,0
41,0,2,3,435,552,0.0,0,0,0
41,0,2,3,435,552,0.0,1,1,1
3,0,1,3,435,296,0.2,1,1,5
3,0,1,3,435,296,0.5,1,1,3
41,0,4,2,341,521,0.3,1,1,1
41,0,4,2,341,521,0.2,1,1,1
41,0,4,2,341,521,0.3,1,1,3
41,0,4,2,341,521,0.1,0,0,0
41,0,4,2,341,521,0.0,0,0,0
41,0,4,2,341,521,0.1,0,0,0
41,0,4,2,341,521,0.2,0,0,0
41,0,4,2,341,521,0.3,1,1,3
51,0,0,1,347,400,0.4,1,1,2
51,0,0,1,347,400,0.6,1,1,9
51,0,0,1,347,400,0.0,0,0,0
51,0,0,1,347,400,0.4,1,1,1
3,0,2,2,341,452,0.2,1,1,3
3,0,2,2,341,452,0.2,1,1,3
3,0,2,2,341,452,0.1,1,1,3
27,0,2,4,408,128,0.3,1,1,1
27,0,2,4,408,128,0.2,1,1,1
4,0,2,3,435,138,0.7,1,1,8
50,0,4,4,408,514,0.2,1,1,24
44,0,0,2,341,372,0.2,0,0,0
44,0,0,2,341,372,0.2,1,1,4
44,0,0,2,341,372,0.4,1,1,1
44,0,0,2,341,372,0.4,1,1,3
35,0,4,2,341,105,0.1,1,1,2
42,0,2,4,408,411,0.0,1,1,1
42,0,2,4,408,411,0.3,1,1,16
20,0,0,1,347,464,0.1,0,0,0
20,0,0,1,347,464,0.4,1,1,3
20,0,0,1,347,464,0.3,1,1,8
20,0,0,1,347,464,0.2,1,1,4
15,0,2,1,347,364,0.0,1,1,7
15,0,2,1,347,364,0.1,0,0,0
