user,interface,diversity,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
9,0.00,2,2,341,5.00,8.00,1.60,7.00,1.40,8.60,5.00,8.40,5.25,16.40,9.60,11.00,37.00,2.00,3.00,3.00,4.00,3,25.77,80.70,138.59,23.11,7.84,14.13,14.13,5.15,19.80,10.09,0.98,4.62,1.57,1.77,1.77,0.67,0.75,0.27,0.11
9,0.00,1,4,408,4.00,11.00,2.75,11.00,2.75,18.00,5.00,9.00,3.27,34.25,24.00,26.00,70.00,1.00,4.00,2.00,9.00,1,19.39,130.67,108.27,7.07,7.07,27.85,16.47,4.85,9.84,11.88,0.95,1.41,1.41,2.53,1.50,0.50,0.44,0.08,0.13
8,0.00,2,0,367,1.00,3.00,3.00,4.00,4.00,24.00,3.00,24.00,8.00,30.00,24.00,0.00,0.00,3.00,0.00,4.00,0.00,0,7.95,156.31,113.54,12.07,12.07,40.04,7.17,7.95,28.39,52.10,5.21,4.02,4.02,13.35,2.39,0.75,0.00,0.00,0.00
8,0.00,3,1,347,2.00,4.00,2.00,7.00,3.50,16.50,5.00,15.50,7.75,33.50,19.00,9.00,29.00,1.00,4.00,1.00,6.00,1,21.45,186.52,130.32,17.17,10.76,44.31,16.64,10.72,18.62,46.63,2.78,3.43,2.15,11.08,4.16,1.00,0.67,0.11,0.21
8,0.00,4,2,341,3.00,4.00,1.33,5.00,1.67,4.33,5.00,4.33,3.25,10.33,10.67,2.00,30.00,2.00,3.00,2.00,3.00,1,21.05,89.43,28.87,11.28,11.28,32.69,16.32,7.02,5.77,22.36,2.88,2.26,2.26,8.17,4.08,1.00,1.00,1.00,0.10
8,0.00,1,4,408,5.00,8.00,1.60,7.00,1.40,12.00,5.00,12.00,7.50,14.20,18.60,18.00,75.00,3.00,2.00,3.00,4.00,1,29.67,203.17,73.29,14.54,14.54,39.44,28.45,5.93,10.47,25.40,2.86,2.91,2.91,4.93,3.56,1.00,0.50,0.17,0.05
8,0.00,2,3,435,2.00,4.00,2.00,5.00,2.50,10.50,4.00,10.50,5.25,25.50,17.50,7.00,28.00,2.00,2.00,2.00,3.00,0,119.81,211.89,102.89,32.90,1.63,52.81,10.13,59.90,20.58,52.97,4.15,8.22,0.41,13.20,2.53,1.00,0.67,0.29,0.11
39,0.00,2,0,367,2.00,10.00,5.00,11.00,5.50,16.00,8.00,16.00,3.20,102.50,48.50,1.00,8.00,8.00,0.00,11.00,0.00,2,18.58,248.50,111.78,25.90,15.26,77.51,42.38,9.29,10.16,24.85,1.21,3.24,1.91,7.75,4.24,0.73,0.00,11.00,0.00
39,0.00,1,1,347,7.00,8.00,1.14,11.00,1.57,4.14,6.00,4.00,3.50,11.00,5.00,13.00,22.00,6.00,0.00,8.00,3.00,5,89.40,127.52,155.46,19.54,19.54,48.70,25.38,12.77,14.13,15.94,1.66,3.26,3.26,6.09,3.17,0.75,0.00,0.62,0.14
39,0.00,3,2,341,9.00,9.00,1.00,4.00,0.44,1.00,4.00,1.00,1.00,4.56,2.89,0.00,26.00,0.00,4.00,0.00,4.00,6,189.17,68.47,20.54,10.88,5.65,36.43,8.81,21.02,5.13,7.61,1.67,2.72,1.41,4.05,0.98,0.00,1.00,0.00,0.15
